company_name,uen_no,class,class_code,additional_info,expiry_date,building_no,street_name,unit_no,building_name,postal_code,tel_no
"DONGAH GEOLOGICAL ENGINEERING CO., LTD, SINGAPORE BRANCH",200400712H,Specialist Builder (Ground Support and Stabilisation Works),SB(GS),na,16/6/18,192,WATERLOO STREET,#04-07,SKYLINE BUILDING,187966,67456530
"DONGAH GEOLOGICAL ENGINEERING CO., LTD, SINGAPORE BRANCH",200714275Z,Specialist Builder (Piling Works),SB(PW),na,16/6/18,192,WATERLOO STREET,#04-07,SKYLINE BUILDING,187966,67456530
"DONGAH GEOLOGICAL ENGINEERING CO., LTD, SINGAPORE BRANCH",200407397C,Specialist Builder (Site Investigation Work),SB(SI),na,16/6/18,192,WATERLOO STREET,#04-07,SKYLINE BUILDING,187966,67456530
DONGWOON ENGINEERING PTE. LTD.,199302458R,Specialist Builder (Ground Support and Stabilisation Works),SB(GS),na,10/2/18,10,ANSON ROAD,#22-05A,INTERNATIONAL PLAZA,79903,63721786
DONGWOON ENGINEERING PTE. LTD.,200508158M,Specialist Builder (Piling Works),SB(PW),na,10/7/17,10,ANSON ROAD,#22-05A,INTERNATIONAL PLAZA,79903,63721786
DOO REE ENGINEERING & TRADING PTE LTD,200204896G,General Builder Class 1,GB1,na,16/6/18,4009,ANG MO KIO AVENUE 10,#03-31,TECHPLACE 1,569738,65522527
DOSK CONTRACT SERVICES PTE. LTD.,201106543C,General Builder Class 1,GB1,na,17/6/18,25,WOODLANDS INDUSTRIAL PARK E1,#04-02,ADMIRALTY INDUSTRIAL PARK,757743,67593112
DOUBLE Y BUILDERS PTE LTD,200304780W,General Builder Class 2,GB2,na,2/7/18,2,WOODLANDS INDUSTRIAL PARK E3,na,WOODLANDS INDUSTRIAL PARK E,757781,63651345
DOUBLE-TRANS PTE. LTD.,201424687E,General Builder Class 1,GB1,na,16/6/18,4,SUNGEI KADUT STREET 2,na,SUNGEI KADUT INDUSTRIAL ESTATE,729226,64812518
DOWELL ENGINEERING SERVICES PTE. LTD.,200416183W,General Builder Class 2,GB2,na,26/3/18,531,UPPER CROSS STREET,#04-58,HONG LIM COMPLEX,50531,62357949
DP GROUP PTE. LTD.,199507823K,General Builder Class 2,GB2,na,2/7/18,200,JALAN SULTAN,#03-25,TEXTILE CENTRE,199018,68448112
DRAGAGES SINGAPORE PTE LTD,198702168N,General Builder Class 1,GB1,na,16/6/18,10,HOE CHIANG ROAD,#23-01,KEPPEL TOWERS,89315,62156685
DRAGAGES SINGAPORE PTE LTD,21612200K,Specialist Builder (Ground Support and Stabilisation Works),SB(GS),na,26/6/18,10,HOE CHIANG ROAD,#23-01,KEPPEL TOWERS,89315,62156685
DRAGAGES SINGAPORE PTE LTD,25263300L,Specialist Builder (Pre-cast Concrete Work),SB(PC),na,26/6/18,10,HOE CHIANG ROAD,#23-01,KEPPEL TOWERS,89315,62156685
DRC ENGINEERING PTE. LTD.,199803209H,General Builder Class 2,GB2,na,2/7/18,12,LITTLE ROAD,#07-01,LIAN CHEONG INDUSTRIAL BUILDING,536986,68582988
DREAMBUILD CONSTRUCTION PTE. LTD.,198800295E,General Builder Class 2,GB2,na,16/6/18,80,CHANGI ROAD,#03-09,CENTROPOD @ CHANGI,419715,67417368
DREDGING INTERNATIONAL ASIA PACIFIC PTE LTD,199206337G,General Builder Class 1,GB1,na,23/6/18,10,Kallang Avenue,#09-11,Aperia,339510,68632108
